# linedensity[i]	correlation[i]/1024	correlation_fftw[i]	FourierComp_fftw[i]
0.570385	0.258799	0.258799	2.78421
0.615188	0.246803	0.246803	0.487129
0.714983	0.231286	0.231286	2.77886
0.736959	0.212796	0.212796	5.15826
1.01665	0.191081	0.191081	3.43837
0.98803	0.16721	0.16721	13.6454
1.086	0.140241	0.140241	11.2512
1.09996	0.112133	0.112133	2.33581
1.19156	0.0821835	0.0821835	0.823117
1.10864	0.0517994	0.0517994	2.09203
1.07498	0.0213612	0.0213612	2.05528
0.978963	-0.00939995	-0.00939995	7.32972
1.03703	-0.0391961	-0.0391961	0.614313
0.929204	-0.068469	-0.068469	6.74419
0.919679	-0.0960588	-0.0960588	21.0613
0.746443	-0.121622	-0.121622	5.02316
0.717629	-0.145125	-0.145125	4.3771
0.717908	-0.165952	-0.165952	2.07191
0.513493	-0.183407	-0.183407	0.165239
0.431048	-0.197956	-0.197956	6.52466
0.126089	-0.208907	-0.208907	4.39772
0.165454	-0.216565	-0.216565	3.94417
0.088147	-0.220774	-0.220774	7.86485
-0.0748604	-0.220937	-0.220937	17.0931
-0.198716	-0.217179	-0.217179	5.08728
-0.524106	-0.210532	-0.210532	1.13437
-0.505744	-0.200302	-0.200302	9.62902
-0.59824	-0.187157	-0.187157	9.76072
-0.669598	-0.170718	-0.170718	1.91252
-0.672194	-0.15126	-0.15126	2.16277
-0.796888	-0.129823	-0.129823	2.55975
-0.890094	-0.106391	-0.106391	0.121191
-0.879124	-0.0809545	-0.0809545	0.188594
-0.940417	-0.0544988	-0.0544988	1.26223
-0.906924	-0.0273932	-0.0273932	3.94024
-0.915562	8.80059e-06	8.80059e-06	4.88358
-0.78565	0.0278008	0.0278008	2.79803
-0.87832	0.0551212	0.0551212	6.82542
-0.790891	0.0812511	0.0812511	3.65518
-0.701731	0.105884	0.105884	6.9614
-0.711148	0.129184	0.129184	9.86146
-0.442061	0.15072	0.15072	7.67609
-0.333984	0.169739	0.169739	0.652567
-0.410838	0.186219	0.186219	4.11919
-0.221592	0.199306	0.199306	1.00181
-0.00275415	0.210111	0.210111	0.253824
0.106752	0.217431	0.217431	3.00229
0.252688	0.221584	0.221584	11.7124
0.331431	0.222439	0.222439	5.15629
0.577082	0.21958	0.21958	1.56163
0.672444	0.214548	0.214548	1.42735
0.729554	0.206	0.206	0.167282
0.72906	0.194344	0.194344	2.68295
0.829514	0.179922	0.179922	9.9357
0.975517	0.163456	0.163456	3.89988
1.02582	0.144744	0.144744	3.0938
0.982657	0.124058	0.124058	1.15133
1.15597	0.101927	0.101927	6.66921
1.08763	0.0787749	0.0787749	2.54204
1.12499	0.0546805	0.0546805	7.84394
1.12023	0.0300931	0.0300931	1.93405
0.934759	0.00568167	0.00568167	3.32194
1.0962	-0.0185191	-0.0185191	1.03368
0.915367	-0.04183	-0.04183	7.58246
1.01995	-0.064141	-0.064141	1.10368
0.754247	-0.0845498	-0.0845498	6.35084
0.793034	-0.104044	-0.104044	0.34402
0.610266	-0.121275	-0.121275	2.34908
0.466483	-0.136169	-0.136169	0.114304
0.276773	-0.148399	-0.148399	3.43676
0.213963	-0.158174	-0.158174	4.25349
0.262078	-0.165392	-0.165392	5.88217
0.0429417	-0.169769	-0.169769	4.83219
-0.191619	-0.170914	-0.170914	10.1049
-0.219591	-0.169034	-0.169034	0.0667218
-0.446349	-0.164627	-0.164627	8.23285
-0.480565	-0.158075	-0.158075	0.268633
-0.582408	-0.148564	-0.148564	6.31212
-0.66521	-0.136872	-0.136872	0.826356
-0.791181	-0.122617	-0.122617	0.0896238
-0.740777	-0.106741	-0.106741	3.33694
-0.817915	-0.0890453	-0.0890453	6.67071
-0.797161	-0.06996	-0.06996	5.32012
-0.894509	-0.0496283	-0.0496283	13.0257
-0.921248	-0.0288154	-0.0288154	2.89915
-0.94167	-0.00741673	-0.00741673	4.69437
-0.879843	0.0138384	0.0138384	0.868625
-0.836922	0.0351935	0.0351935	4.82785
-0.790944	0.0561315	0.0561315	5.15184
-0.753759	0.0755469	0.0755469	1.23183
-0.554647	0.094015	0.094015	8.99552
-0.48655	0.110981	0.110981	5.76744
-0.384157	0.126531	0.126531	10.9978
-0.324771	0.13952	0.13952	4.05412
-0.124763	0.151035	0.151035	8.04961
0.112556	0.160354	0.160354	14.9783
0.110625	0.167315	0.167315	4.12817
0.173792	0.171312	0.171312	4.68725
0.261558	0.173162	0.173162	9.10407
0.269706	0.172407	0.172407	2.06939
0.557792	0.169801	0.169801	4.53427
0.748205	0.164042	0.164042	4.65127
0.668099	0.156314	0.156314	1.01749
0.738905	0.146711	0.146711	0.869136
0.948107	0.134856	0.134856	3.10444
1.10228	0.121336	0.121336	2.15386
0.935038	0.106294	0.106294	2.73842
0.978167	0.0901649	0.0901649	12.0341
1.00558	0.0729435	0.0729435	1.48401
1.15947	0.0547953	0.0547953	17.1744
1.05407	0.0363314	0.0363314	2.19972
1.00465	0.0176589	0.0176589	1.59705
0.907825	-0.000454537	-0.000454537	0.656037
0.936599	-0.0186021	-0.0186021	1.82634
0.851389	-0.0359563	-0.0359563	11.7465
0.762325	-0.0520003	-0.0520003	1.9037
0.583893	-0.0674703	-0.0674703	0.541915
0.753578	-0.0811383	-0.0811383	9.84976
0.407486	-0.0933877	-0.0933877	3.00554
0.35298	-0.103641	-0.103641	0.730026
0.135864	-0.111986	-0.111986	0.414354
0.154009	-0.118333	-0.118333	5.09117
0.120689	-0.122997	-0.122997	4.03625
-0.104368	-0.125135	-0.125135	2.25783
-0.263756	-0.125125	-0.125125	1.54077
-0.337276	-0.123104	-0.123104	5.6057
-0.531598	-0.118787	-0.118787	0.429614
-0.643169	-0.112876	-0.112876	1.7923
-0.722626	-0.105205	-0.105205	8.95845
-0.604523	-0.0955835	-0.0955835	2.59619
-0.738475	-0.0848807	-0.0848807	1.86309
-0.80616	-0.0722416	-0.0722416	1.20376
-0.890555	-0.0587279	-0.0587279	7.31829
-0.797339	-0.0443526	-0.0443526	1.09827
-0.856088	-0.0291006	-0.0291006	2.82575
-0.969097	-0.0137873	-0.0137873	3.57049
-0.813354	0.00169081	0.00169081	5.50163
-0.87019	0.0173331	0.0173331	1.42066
-0.755937	0.032598	0.032598	2.92861
-0.651855	0.047329	0.047329	9.4754
-0.571153	0.0611476	0.0611476	1.30067
-0.528632	0.0741741	0.0741741	2.53376
-0.260543	0.0861215	0.0861215	2.69228
-0.211674	0.09695	0.09695	1.58505
-0.178077	0.106131	0.106131	5.95683
-0.0266794	0.113672	0.113672	3.56877
0.244621	0.120108	0.120108	0.743382
